,Name,Inches,RAM,ROM,OS,Price,Links
0,OPPO Reno7 4G (8GB - 128GB),6.43 inches,8 GB,128 GB,"Android 11, ColorOS 12",79900000.0,https://cellphones.com.vn/oppo-reno7-128gb.html
1,OPPO A16K,6.52 inches,3 GB,32 GB,Android 11,36900000.0,https://cellphones.com.vn/oppo-a16k.html
2,OPPO A95,6.43 inches,8 GB,128 GB,Android 11,5090000.0,https://cellphones.com.vn/oppo-a95.html
3,OPPO Reno7 (5G),6.43 inches,8 GB,256 GB,"Android 11, ColorOS 12",129900000.0,https://cellphones.com.vn/oppo-reno-7.html
4,OPPO Reno7 Z (5G),6.43 inches,8 GB,128 GB,Android 11 - ColorOS 12,99900000.0,https://cellphones.com.vn/oppo-reno7-z.html
5,OPPO A57,6.56 inches,4 GB,64 GB,"ColorOS 12.1, nền tảng Android 12",44900000.0,https://cellphones.com.vn/oppo-a57.html
6,OPPO A96,6.59 inches,8 GB,128 GB,"Android 11, ColorOS 12",5090000.0,https://cellphones.com.vn/oppo-a96.html
7,OPPO Reno 7 Pro,6.5 inches,12 GB,256 GB,"Android 11, ColorOS 12",189900000.0,https://cellphones.com.vn/oppo-reno7-pro.html
8,iPhone 14 Pro Max 128GB | Chính hãng VN/A,6.7 inches,6 GB,128 GB,iOS 16,299900000.0,https://cellphones.com.vn/iphone-14-pro-max.html
9,Xiaomi Redmi Note 12,6.67 inches,4 GB,128 GB,Android 12,49900000.0,https://cellphones.com.vn/xiaomi-redmi-note-12.html
10,Samsung Galaxy S23 Ultra 256GB,6.8 inches,8 GB,256 GB,Android,319900000.0,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html
11,OPPO Reno8 T 5G (8GB - 128GB),6.7 inches,8GB + Mở rộng 8GB,128 GB,Coloros 13,99900000.0,https://cellphones.com.vn/oppo-reno-8t.html
12,iPhone 13 128GB | Chính hãng VN/A,6.1 inches,4 GB,128 GB,iOS 15,189900000.0,https://cellphones.com.vn/iphone-13.html
13,vivo Y35,6.58 inches,8GB + Mở rộng 8GB,128 GB,"Android 12, Funtouch OS 12",69900000.0,https://cellphones.com.vn/vivo-y35.html
14,Samsung Galaxy S22 Ultra (8GB - 128GB),6.8 inches,8 GB,128 GB,"Android 12, One UI 4.1",309900000.0,https://cellphones.com.vn/samsung-galaxy-s22-ultra.html
15,iPhone 14 Pro 128GB | Chính hãng VN/A,6.1 inches,6 GB,128 GB,iOS 16,279900000.0,https://cellphones.com.vn/iphone-14-pro.html
16,iPhone 14 128GB | Chính hãng VN/A,6.1 inches,6 GB,128 GB,iOS 16,229900000.0,https://cellphones.com.vn/iphone-14.html
17,iPhone 12 Pro Max 128GB I Chính hãng VN/A,6.7 inches,6 GB,128 GB,iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành),289900000.0,https://cellphones.com.vn/iphone-12-pro-max.html
18,iPhone 14 Pro Max 256GB | Chính hãng VN/A,6.7 inches,6 GB,256 GB,iOS 16,329900000.0,https://cellphones.com.vn/iphone-14-pro-max-256gb.html
19,OPPO Find N2 Flip,6.8 inches,8 GB,256 GB,Android 13,19990000.0,https://cellphones.com.vn/oppo-find-n2-flip.html
20,Samsung Galaxy S20 FE 256GB,6.5 inches,8 GB,256 GB,"Android 10, One UI 2.5",124900000.0,https://cellphones.com.vn/samsung-galaxy-s20-fe.html
21,iPhone 11 64GB | Chính hãng VN/A,6.1 inches,4 GB,64 GB,iOS 13 hoặc cao hơn (Tùy vào phiên bản phát hành),119900000.0,https://cellphones.com.vn/iphone-11.html
22,Xiaomi 12T 8GB 128GB,6.67 inches,8 GB,128 GB,"Android 12, MIUI 13",124900000.0,https://cellphones.com.vn/xiaomi-mi-12t.html
23,iPhone 14 Plus 128GB | Chính hãng VN/A,6.7 inches,6 GB,128 GB,iOS 16,249900000.0,https://cellphones.com.vn/iphone-14-plus.html
24,iPhone 11 128GB | Chính hãng VN/A,6.1 inches,4 GB,128 GB,iOS 13 hoặc cao hơn (Tùy vào phiên bản phát hành),139900000.0,https://cellphones.com.vn/iphone-11-128gb.html
25,iPhone 13 Pro Max 128GB | Chính hãng VN/A,6.7 inches,6 GB,128 GB,iOS15,289900000.0,https://cellphones.com.vn/iphone-13-pro-max.html
26,Xiaomi Redmi Note 12 Pro 5G,6.67 inches,8 GB,256 GB,Android 12,94900000.0,https://cellphones.com.vn/xiaomi-redmi-note-12-pro-5g.html
27,Samsung galaxy S23 Plus 8GB 512GB,6.6 inches,8 GB,512 GB,Android,299900000.0,https://cellphones.com.vn/samsung-galaxy-s23-plus-512gb.html
28,Xiaomi 12 Pro (5G),6.73 inches,12 GB,256 GB,"MIUI 13, Android 12",279900000.0,https://cellphones.com.vn/xiaomi-mi-12-pro.html
29,Xiaomi Redmi Note 12 Pro 4G 8GB 256GB,6.67 inches,8 GB,256 GB,MIUI 13 dựa trên Android 11,79900000.0,https://cellphones.com.vn/xiaomi-redmi-note-12-pro-4g.html
30,Xiaomi Redmi Note 12S,6.43 inches,8 GB,256 GB,Android 13,66900000.0,https://cellphones.com.vn/xiaomi-redmi-note-12s.html
31,iPhone 12 128GB | Chính hãng VN/A,6.1 inches,4 GB,128 GB,iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành),179900000.0,https://cellphones.com.vn/iphone-12-128gb.html
32,ASUS ROG Phone 7 Ultimate 16GB 512GB - Chỉ có tại CellphoneS,6.78 inches,16 GB,512 GB,Android 13,29990000.0,https://cellphones.com.vn/rog-phone-7-ultimate.html
33,Samsung Galaxy Z Flip4 128GB,6.7 inches,8 GB,128 GB,Android 12,239900000.0,https://cellphones.com.vn/samsung-galaxy-z-flip-4.html
34,iPhone 13 Pro Max 256GB | Chính hãng VN/A,6.7 inches,6 GB,256 GB,iOS15,319900000.0,https://cellphones.com.vn/iphone-13-pro-max-256gb.html
35,iPhone 12 64GB | Chính hãng VN/A,6.1 inches,4 GB,64 GB,iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành),159900000.0,https://cellphones.com.vn/iphone-12.html
36,Samsung Galaxy M14 5G 4GB 128GB,6.6 inches,4 GB,128 GB,Android 13,52900000.0,https://cellphones.com.vn/samsung-galaxy-m14.html
37,Samsung Galaxy S21 FE 8GB 128GB,6.4 inches,8 GB,128 GB,Android 12,169900000.0,https://cellphones.com.vn/samsung-galaxy-s21-fe-8gb-128gb.html
38,Tecno Camon 20,6.67 inches,8 GB,256 GB,Android 13,49900000.0,https://cellphones.com.vn/tecno-camon-20.html
39,Samsung Galaxy A34 5G 8GB 128GB,6.6 inches,8 GB,128 GB,Android 13,84900000.0,https://cellphones.com.vn/samsung-galaxy-a34.html
40,Xiaomi 13 Lite,6.55 inches,8 GB,256 GB,"Android 12, MIUI 14",114900000.0,https://cellphones.com.vn/xiaomi-13-lite.html
41,Samsung Galaxy S22 Ultra (12GB - 256GB) - Độc quyền,6.8 inches,12 GB,256 GB,"Android 12, One UI 4.1",339900000.0,https://cellphones.com.vn/samsung-galaxy-s22-ultra-12gb-256gb.html
42,iPhone 13 Pro 128GB | Chính hãng VN/A,6.1 inches,6 GB,128 GB,iOS15,239900000.0,https://cellphones.com.vn/iphone-13-pro.html
43,Tecno Camon 20 Pro,6.67 inches,8 GB,256 GB,Android 13,54900000.0,https://cellphones.com.vn/tecno-camon-20-pro.html
44,Samsung Galaxy S23 8GB 256GB,6.1 inches,8 GB,256 GB,Android,249900000.0,https://cellphones.com.vn/samsung-galaxy-s23.html
45,iPhone 14 Pro Max 512GB | Chính hãng VN/A,6.7 inches,6 GB,512 GB,iOS 16,389900000.0,https://cellphones.com.vn/iphone-14-pro-max-512gb.html
46,iPhone 14 Pro 256GB | Chính hãng VN/A,6.1 inches,6 GB,256 GB,iOS 16,299900000.0,https://cellphones.com.vn/iphone-14-pro-256gb.html
47,Samsung Galaxy Z Fold4,7.6 inches,12 GB,256 GB,Android 12,409900000.0,https://cellphones.com.vn/samsung-galaxy-z-fold-4.html
48,Tecno Spark 10 Pro 8GB 128GB,6.78 inches,8 GB,128 GB,Android™ T,39900000.0,https://cellphones.com.vn/tecno-spark-10-pro.html
49,Xiaomi 13 8GB 256GB,6.36 inches,8 GB,256 GB,"MIUI 14, Android 13",18490000.0,https://cellphones.com.vn/xiaomi-13.html
50,Samsung Galaxy A14 5G,6.6 inches,4 GB,128 GB,Android 13,51900000.0,https://cellphones.com.vn/samsung-galaxy-a14.html
51,realme C55 6GB 128GB,6.72 inches,6 GB,128 GB,Android 13,49900000.0,https://cellphones.com.vn/realme-c55.html
52,Samsung Galaxy A54 5G 8GB 128GB,6.4 inches,8 GB,128 GB,Android 13,104900000.0,https://cellphones.com.vn/samsung-galaxy-a54.html
53,Tecno Pova 4 Pro 8GB 128GB,6.66 inches,8 GB,128 GB,Android 12,4590000.0,https://cellphones.com.vn/tecno-pova-4-pro.html
54,Samsung Galaxy A53 (5G),6.5 inches,8 GB,128 GB,Android 12,99900000.0,https://cellphones.com.vn/samsung-galaxy-a53.html
55,Samsung Galaxy S23 Ultra 12GB 512GB,6.8 inches,12 GB,512 GB,Android,369900000.0,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-512gb.html
56,Xiaomi 13 Pro 12GB 256GB,6.73 inches,12 GB,256 GB,Android 13,24490000.0,https://cellphones.com.vn/xiaomi-13-pro.html
57,Samsung Galaxy A23 5G,6.6 inches,4 GB,128 GB,"Android 12, One UI 4.1",59900000.0,https://cellphones.com.vn/samsung-galaxy-a23-5g.html
58,Xiaomi Redmi Note 11 Pro,6.66 inches,8 GB,128 GB,"Android 11, MIUI 12.5",5790000.0,https://cellphones.com.vn/xiaomi-redmi-note-11-pro.html
59,iPhone 14 Plus 256GB | Chính hãng VN/A,6.7 inches,6 GB,256 GB,iOS 16,279900000.0,https://cellphones.com.vn/iphone-14-plus-256gb.html
60,Tecno Pova 4 Pro 8GB 256GB,6.66 inches,8 GB,256 GB,Android™ 12,59900000.0,https://cellphones.com.vn/tecno-pova-4-pro-8gb-256gb.html
61,realme 9 Pro,6.6 inches,8 GB,128 GB,"Android 12, UI 3.0",79900000.0,https://cellphones.com.vn/realme-9-pro.html
62,Vivo V27e 8GB 256GB,6.62 inches,8 GB,256 GB,Funtouch OS 13,89900000.0,https://cellphones.com.vn/vivo-v27e.html
63,Xiaomi POCO X5 Pro 5G 6GB 128GB,6.67 inches,6 GB,128 GB,MIUI 14 cho POCO,86900000.0,https://cellphones.com.vn/poco-x5-pro.html
64,Xiaomi Redmi 12C 4GB 64GB,6.71 inches,4 GB,64 GB,Android 13,35900000.0,https://cellphones.com.vn/xiaomi-redmi-12c.html
65,ASUS ROG Phone 7 16GB 512GB,6.78 inches,16 GB,512 GB,Android 13,24990000.0,https://cellphones.com.vn/asus-rog-phone-7.html
66,iPhone SE 2022 | Chính hãng VN/A,4.7 inches,4 GB,64 GB,iOS 15,9990000.0,https://cellphones.com.vn/iphone-se-2022.html
67,OnePlus Nord CE 3 Lite - Chỉ có tại CellphoneS,6.72 inches,8 GB,256 GB,Android 13,61900000.0,https://cellphones.com.vn/oneplus-nord-ce-3-lite.html
68,Nokia G22 4GB 128GB,6.52 inches,4 GB,128 GB,Android™ 12,39900000.0,https://cellphones.com.vn/nokia-g22.html
69,Samsung Galaxy A13 (4G),6.6 inches,4 GB,128 GB,Android 12,41900000.0,https://cellphones.com.vn/samsung-galaxy-a13.html
70,Xiaomi POCO M5 4GB 64GB,6.58 inches,4 GB,64 GB,"Android 12, MIUI 13",39900000.0,https://cellphones.com.vn/xiaomi-poco-m5.html
71,iPhone 14 256GB | Chính hãng VN/A,6.1 inches,6 GB,256 GB,iOS 16,259900000.0,https://cellphones.com.vn/iphone-14-256gb.html
72,OPPO Reno8,6.4 inches,8 GB,256 GB,Android 12,89900000.0,https://cellphones.com.vn/oppo-reno-8.html
73,ASUS ROG Phone 6 16GB 512GB - Chỉ có tại CellphoneS,6.78 inches,16 GB,512 GB,Android 12,209900000.0,https://cellphones.com.vn/asus-rog-phone-6.html
74,Infinix Hot 30i,6.56 inches,4GB + Mở rộng 4GB,128 GB,Android 12,2390000.0,https://cellphones.com.vn/infinix-hot-30i.html
75,realme 10 8GB 256GB,6.4 inches,8 GB,256 GB,"Android 12, Realme UI 3.0",71900000.0,https://cellphones.com.vn/realme-10.html
76,Samsung Galaxy S23 Plus 8GB 256GB,6.6 inches,8 GB,256 GB,Android,269900000.0,https://cellphones.com.vn/samsung-galaxy-s23-plus.html
77,OPPO A57,6.56 inches,4 GB,64 GB,"ColorOS 12.1, nền tảng Android 12",44900000.0,https://cellphones.com.vn/oppo-a57.html
78,iPhone 12 Pro 128GB I Chính hãng VN/A,6.1 inches,6 GB,128 GB,iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành),269900000.0,https://cellphones.com.vn/iphone-12-pro.html
79,Samsung Galaxy A73 128GB,6.7 inches,8 GB,128 GB,Android 12,119900000.0,https://cellphones.com.vn/samsung-galaxy-a73-128gb.html
80,Xiaomi Redmi Note 11S,6.43 inches,8 GB,128 GB,"MIUI 13, Android 11",66900000.0,https://cellphones.com.vn/xiaomi-redmi-note-11s.html
81,realme 9 Pro Plus,6.4 inches,8 GB,128 GB,"UI 3.0, Android 12",69900000.0,https://cellphones.com.vn/realme-9-pro-plus.html
82,OPPO Reno7 4G (8GB - 128GB),6.43 inches,8 GB,128 GB,"Android 11, ColorOS 12",79900000.0,https://cellphones.com.vn/oppo-reno7-128gb.html
83,Samsung Galaxy A14 4G,6.6 inches,4 GB,128 GB,Android 13,44900000.0,https://cellphones.com.vn/samsung-galaxy-a14-4g.html
84,POCO X5 5G 6GB 128GB - Chỉ có tại CellphoneS,6.67 inches,6 GB,128 GB,MIUI 13 (Android 12),64900000.0,https://cellphones.com.vn/poco-x5.html
85,Xiaomi Mi 11 Lite 5G,6.55 inches,8 GB,128 GB,"Android 11, MIUI 12",104900000.0,https://cellphones.com.vn/xiaomi-mi-11-lite.html
86,Nokia C31 4GB 128GB,6.7 inches,4 GB,128 GB,Android 12,36900000.0,https://cellphones.com.vn/nokia-c31-4gb-128gb.html
87,Xiaomi Redmi Note 11 Pro 5G,6.67 inches,8 GB,128 GB,"MIUI 13, Android 11",89900000.0,https://cellphones.com.vn/xiaomi-redmi-note-11-pro-5g.html
88,OPPO Reno 7 Pro,6.5 inches,12 GB,256 GB,"Android 11, ColorOS 12",189900000.0,https://cellphones.com.vn/oppo-reno7-pro.html
89,OPPO Reno8 5G 8GB 256GB,6.4 inches,8 GB,256 GB,Android 12,13990000.0,https://cellphones.com.vn/oppo-reno-8-5g.html
90,Xiaomi Redmi Note 11 Pro Plus 5G - Chỉ có tại CellphoneS,6.67 inches,8 GB,256 GB,"Android 11, MIUI 12.5",99900000.0,https://cellphones.com.vn/xiaomi-redmi-note-11-pro-plus.html
91,ASUS ROG Phone 6 12GB 256GB,6.78 inches,12 GB,256 GB,Android 12,189900000.0,https://cellphones.com.vn/asus-rog-phone-6-12gb-256gb.html
92,Samsung Galaxy A04s,6.5 inches,4 GB,64 GB,Android 12 One UI,39900000.0,https://cellphones.com.vn/samsung-galaxy-a04s.html
93,Xiaomi 11 Lite 5G NE,6.55 inches,8 GB,128 GB,"MIUI 12.5, Android 11",94900000.0,https://cellphones.com.vn/xiaomi-11-lite-5g-ne.html
94,OnePlus 11 16GB 256GB,6.7 inches,16 GB,256 GB,OxygenOS trên nền tảng Android™ 13,199900000.0,https://cellphones.com.vn/oneplus-11.html
95,Tecno Spark 10 Pro 8GB 256GB,6.78 inches,8 GB,256 GB,Android 13,44900000.0,https://cellphones.com.vn/tecno-spark-10-pro-8gb-256gb.html
96,OPPO Reno8 T 256GB,6.4 inches,8 GB,256 GB,"ColorOS 13, nền tảng Android 13",8490000.0,https://cellphones.com.vn/oppo-reno-8t-4g-256gb.html
97,Samsung Galaxy S22 (8GB - 256GB),6.1 inches,8 GB,256 GB,Android 12,234900000.0,https://cellphones.com.vn/samsung-galaxy-s22-256gb.html
98,Samsung Galaxy S23 Ultra 12GB 1TB,6.8 inches,12 GB,1 TB,Android,449900000.0,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-1tb.html
99,Xiaomi Redmi Note 11 128GB,6.43 inches,4 GB,128 GB,"Android 11, MIUI 12.5",4090000.0,https://cellphones.com.vn/xiaomi-redmi-note-11-128gb.html
